item_id;name;weight;value;count
15;Perły;854190;1853562;131
23;Kusza;952360;2068204;130
25;Puchar z cynku;978724;2100851;128
20;Mundur;904818;1910501;110
7;Hełm;800493;1686515;104
11;Długi miecz;382846;833132;100
13;Naszyjnik;169738;376418;97
5;Skamieliny;265590;579152;96
21;Trucizna;730061;1528646;90
10;Nóż;323618;677562;79
1;Moneta z brązu;225790;471010;78
12;Maska;44676;99192;72
0;Toporek;32252;68674;70
4;Szmaragdowy pas;35384;78344;62
2;Korona;468164;944620;51
14;Opalowa zawieszka;610876;1253986;48
8;Tusz;823576;1688691;48
3;Diamentowy posążek;489494;962094;21
18;Srebrna bransoletka;446517;859835;19
16;Kołczan;671123;1320297;10
9;Szkatułka;552202;1056157;5
22;Wełniany szal;931932;1827477;2
6;Złota moneta;497911;902698;1
17;Rubinowy pierścień;698180;1301637;0
19;Czasomierz;909620;1677534;0
24;Stara księga;926023;1746556;0
