N, inercja, poznawcza, spoleczna, T, mean, std, min, max
(20, 0.3, 0.5, 1.0, 100), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 0.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 0.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 1.0, 1.0, 100), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 1.0, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 1.0, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 1.5, 1.0, 100), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 1.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.3, 1.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.6, 0.5, 1.0, 100), 1.901e-21, 3.492e-21, 3.450e-23, 8.881e-21
(20, 0.6, 0.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.6, 0.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.6, 1.0, 1.0, 100), 2.974e-21, 3.210e-21, 1.143e-22, 8.937e-21
(20, 0.6, 1.0, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.6, 1.0, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.6, 1.5, 1.0, 100), 5.437e-19, 7.648e-19, 7.873e-21, 2.020e-18
(20, 0.6, 1.5, 1.0, 400), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.6, 1.5, 1.0, 800), 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
(20, 0.9, 0.5, 1.0, 100), 2.871e-05, 4.993e-05, 7.046e-08, 1.281e-04
